property_name,,house_number,street_name,borough
814 WESTCHESTER AVE,2026760049,814,WESTCHESTER,
104-38 164 Street,,104-38,164 Street,
105-13 177 Street,,105-13,177 Street,
105-15 177 Street,,105-15,177 Street,
106-30 156 Street,,106-30,156 Street,
106-32 156 Street,,106-32,156 Street,
106-36 156 Street,,106-36,156 Street,
106-33 156 Street,,106-33,156 Street,
106-33 Guy R Brewer Blvd (Mortgage),,106-33,Guy R Brewer Blvd,
106-41 Guy R Brewer Blvd,,106-41,Guy R Brewer Blvd,
107-06 Sutphin Blvd,,107-06,Sutphin Blvd,
107-09 Guy R Brewer Blvd,,107-09,Guy R Brewer Blvd,
107-11 Guy R Brewer Blvd,,107-11,Guy R Brewer Blvd,
107-19 Guy R Brewer Blvd,,107-19,Guy R Brewer Blvd,
107-21 Guy R Brewer Blvd,,107-21,Guy R Brewer Blvd,
107-29 Guy R Brewer Blvd,,107-29,Guy R Brewer Blvd,
107-23 Guy R Brewer Blvd,,107-23,Guy R Brewer Blvd,
107-27 Guy R Brewer Blvd,,107-27,Guy R Brewer Blvd,
107-35 Sutphin Blvd,,107-35,Sutphin Blvd,
107-45 Sutphin Blvd,,107-45,Sutphin Blvd,
107-17 Merrick Blvd,,107-17,Merrick Blvd,
107-46 156 Street,,107-46,156 Street,
108-16 167 Street,,108-16,167 Street,
108-01 Merrick Blvd,,108-01,Merrick Blvd,
109-43 Guy R Brewer Blvd,,109-43,Guy R Brewer Blvd,
109-06 Guy R Brewer Blvd,,109-06,Guy R Brewer Blvd,
109-08 Guy R Brewer Blvd,,109-08,Guy R Brewer Blvd,
109-12 Guy R Brewer Blvd,,109-12,Guy R Brewer Blvd,
109-44 Guy R Brewer Blvd,,109-44,Guy R Brewer Blvd,
109-45 Guy R Brewer Blvd,,109-45,Guy R Brewer Blvd,
111-51 178 Street,,111-51,178 Street,
111-43 178 Street,,111-43,178 Street,
111-75/77 157 Street,,111-75,157 Street,
112-12 205 Street,,112-12,205 Street,
114-69 Farmers Blvd,,114-69,Farmers Blvd,
115-27 Bedell Street,,115-27,Bedell Street,
115-29 Bedell Street,,115-29,Bedell Street,
115-30 175 Street,,115-30,175 Street,
115-46 Sutphin Blvd,,115-46,Sutphin Blvd,
116-04 Merrick Blvd,,116-04,Merrick Blvd,
116-14 168 Street,,116-14,168 Street,
116-06 Merrick Blvd,,116-06,Merrick Blvd,
116-19 146 Street,,116-19,146 Street,
118-34 154 Street,,118-34,154 Street,
118-44 Marsden Street,,118-44,Marsden Street,
119-28 Merrick Blvd,,119-28,Merrick Blvd,
119-32 Merrick Blvd,,119-32,Merrick Blvd,
119-37 Farmers Blvd,,119-37,Farmers Blvd,
119-41 Farmers Blvd,,119-41,Farmers Blvd,
119-08 179 Street,,119-08,179 Street,
120-14 Merrill Street,,120-14,Merrill Street,
120-35 147 Street (Mortgage),,120-35,147 Street,
121-05 Sutphin Blvd (Mortgage),,121-05,Sutphin Blvd,
126-35 148 Street,,126-35,148 Street,
126-40 146 Street,,126-40,146 Street,
126-42 146 Street,,126-42,146 Street,
131-25 Rockaway Blvd,,131-25,Rockaway Blvd,
132-44 Bennett Court,,132-44,Bennett Court,
139-19 226 Street,,139-19,226 Street,
1335 Clay Avenue,,1335,Clay Avenue,
143-16 Lakewood Avenue,,143-16,Lakewood Avenue,
143-05 Liberty Avenue,,143-05,Liberty Avenue,
143-08 224 Street,,143-08,224 Street,
1431 Eggert Place,,1431,Eggert Place,
145-38 110 Avenue (Mortgage),,145-38,110 Avenue,
146-06 Rockaway Blvd,,146-06,Rockaway Blvd,
146-08 Rockaway Blvd,,146-08,Rockaway Blvd,
147-27 Arlington Terrace (Mortgage),,147-27,Arlington Terrace,
147-38 108 Avenue,,147-38,108 Avenue,
147-24 Hillside Avenue,,147-24,Hillside Avenue,
148-11 Linden Blvd,,148-11,Linden Blvd,
148-15 Linden Blvd,,148-15,Linden Blvd,
150-42 120 Avenue,,150-42,120 Avenue,
150-40 Shore Avenue,,150-40,Shore Avenue,
152-05 118 Avenue (Mortgage),,152-05,118 Avenue,
152-32 Rockaway Blvd,,152-32,Rockaway Blvd,
152-34 Rockaway Blvd,,152-34,Rockaway Blvd,
153-27 119 Road,,153-27,119 Road,
1590 Metropolitan Avenue,,1590,Metropolitan Avenue,
160-18 119 Road,,160-18,119 Road,
160-15 109 Avenue,,160-15,109 Avenue,
162-14 109 Avenue,,162-14,109 Avenue,
164-15 109 Drive,,164-15,109 Drive,
164-17 109 Drive,,164-17,109 Drive,
164-22 109 Road,,164-22,109 Road,
168-12 Foch Boulevard,,168-12,Foch Boulevard,
170-04 107 Avenue,,170-04,107 Avenue,
173-15 104 Avenue,,173-15,104 Avenue,
173-41 104 Avenue,,173-41,104 Avenue,
173 Beach 60 Street,,173,Beach 60 Street,
175 Beach 60 Street,,175,Beach 60 Street,
1724 Palmetto Street,,1724,Palmetto Street,
1726 Palmetto Street,,1726,Palmetto Street,
1728 Palmetto Street,,1728,Palmetto Street,
1730 Palmetto Street,,1730,Palmetto Street,
1756 Monroe Avenue,,1756,Monroe Avenue,
1737 Montgomery Avenue ,,1737,Montgomery Avenue,
175 East 55 Street,,175,East 55 Street,
177 East 55 Street,,177,East 55 Street,
181-42 144 Avenue,,181-42,144 Avenue,
188-10 119 Road,,188-10,119 Road,
188-08 119 Road,,188-08,119 Road,
194-06 99 Avenue,,194-06,99 Avenue,
198-21 Hollis Avenue,,198-21,Hollis Avenue,
1961 Fulton Street,,1961,Fulton Street,
1972 Bathgate Avenue,,1972,Bathgate Avenue,
1974 Bathgate Avenue,,1974,Bathgate Avenue,
218-42 140 Avenue,,218-42,140 Avenue,
219-17 138 Road (Mortgage),,219-17,138 Road,
219-19 138 Road,,219-19,138 Road,
219-21 138 Road,,219-21,138 Road,
222-41 143 Road (Mortgage),,222-41,143 Road,
222-44 143 Avenue,,222-44,143 Avenue,
223-19 113 Avenue,,223-19,113 Avenue,
2753 Kingsbridge Terrace,,2753,Kingsbridge Terrace,
2755 Kingsbridge Terrace,,2755,Kingsbridge Terrace,
2757 Kingsbridge Terrace,,2757,Kingsbridge Terrace,
2774 Fulton Street,,2774,Fulton Street,
2779 Fulton Street,,2779,Fulton Street,
261 Fernside Pl,,261,Fernside Pl,
305 Jefferson Street (Mortgage),,305,Jefferson Street,
305 Beach 84 Street,,305,Beach 84 Street,
3567-3569 Willet Avenue,,3567-3569,Willet Avenue,
36-20 23 Street,,36-20,23 Street,
36-24 23 Street,,36-24,23 Street,
366 Jerome Street,,366,Jerome Street,
44 East 132 Street,,44,East 132 Street,
432 Beach 44 Street,,432,Beach 44 Street,
476 Beach 46 Street,,476,Beach 46 Street,
5936 Cooper Avenue,,5936,Cooper Avenue,
621 Beach 68 Street,,621,Beach 68 Street,
646 Grand Street (Mortgage),,646,Grand Street,
65-11 Bayfield Avenue,,65-11,Bayfield Avenue,
658 Beach 69 Street,,658,Beach 69 Street,
67-15 Beach Channel Drive,,67-15,Beach Channel,
6951 Almeda Avenue,,6951,Almeda Avenue,
753 Jackson Avenue (Mortgage),,753,Jackson Avenue,
777 Prospect Avenue,,777,Prospect Avenue,
783 Prospect Avenue,,783,Prospect Avenue,
779 Prospect Avenue,,779,Prospect Avenue,
781 Prospect Avenue,,781,Prospect Avenue,
814 Westchester Avenue (Mortgage),,814,Westchester Avenue ,
86-43 90 Street Unit 3C,,86-43,Street Unit,
86-43 90 Street Unit 3B,,86-43,Street Unit,
86-43 90 Street Unit 3A,,86-43,Street Unit,
86-43 90 Street Unit 2C,,86-43,Street Unit,
86-43 90 Street Unit 2A,,86-43,Street Unit,
86-43 90 Street Unit 2B,,86-43,Street Unit,
86-43 90 Street Unit 1A,,86-43,Street Unit,
86-43 90 Street Unit 1C,,86-43,Street Unit,
86-43 90 Street Unit 1B,,86-43,Street Unit,
87-08 Justice Avenue,,87-08,Justice Avenue,
88-12 161 Street (Mortgage),,88-12,161 Street,
88-14 161 Street (Mortgage),,88-14,161 Street,
98-15 197 Street,,98-15,197 Street,
98-17 197 Street,,98-17,197 Street,
301 Seagirt Avenue,,301,Seagirt Avenue,
1475 Hicks Street,,1475,Hicks Street,
1991 Ellis Avenue,,1991,Ellis Avenue,
179 E Mosholu PK,,179,E Mosholu,
109-18 Merrick Blvd,,109-18,Merrick Blvd,
25-04 Brookhaven Avenue,,25-04,Brookhaven Avenue,
216-24 115 Terrace,,216-24,115 Terrace,
444 Beach 44 Street,,444,Beach 44 Street,
342 Beach 70 Street,,342,Beach 70 Street,
219-08 138 Road,,219-08,138 Road,
247-14 137 Road,,247-14,137 Road,
135-40 231 Street,,135-40,231 Street,
114-35 170 Street,,114-35,170 Street,
1144 Rev James Polite Avenue,,1144,Rev James,
87-26 127 Street,,87-26,127 Street,
114-47 226 Street,,114-47,226 Street,
168A Beach 26 Street,,168A,A Beach,
731 Quincy Avenue,,731,Quincy Avenue,
4518 Richardson Avenue,,4518,Richardson Avenue,
147-46 231 Street,,147-46,231 Street,
123-18 153 Street,,123-18,153 Street,
119-49 Guy R Brewer Blvd (1/3 Share),,119-49,Guy R,
140-28 159 Street (Partner),,140-28,159 Street,
3426 Boller Avenue,,3426,Boller Avenue,
210 W 19 Street,,210,W 19 Street,
129 New Drop Plaza,,129,New Drop Plaza,
111-48 156 Street,,111-48,156 Street,
87-73 Sutphin Blvd,,87-73,Sutphin Blvd,
167-37 147 Avenue,,167-37,147 Avenue,
69-52 DeCosta Avenue,,69-52,DeCosta Avenue,
133-44 118 Street,,133-44,118 Street,
175-51 Dalny Road,,175-51,Dalny Road,
109-05 Francis Lewis Blvd,,109-05,Francis Lewis,
225-36 111 Avenue,,225-36,111 Avenue,
125-18 Francis Lewis Blvd,,125-18,Francis Lewis,
108-54 Union Hall Street,,108-54,Union Hall,
107-11 Waltham Street,,107-11,Waltham Street,
146-52 105 Avenue,,146-52,105 Avenue,
146-29 South Road,,146-29,South Road,
14-29 Pearl Street,,14-29,Pearl Street,
40-06 Rockaway Beach Blvd,,40-06,Rockaway Beach,
816 Westchester Avenue,,816,Westchester Avenue,
446 Beach 44 Street,,446,Beach 44 Street,
125-02 Merrrick Blvd,,125-02,Merrrick Blvd,
303 Beach 86 St,,303,Beach 86 St,
119-19 146 Street,,119-19,146 Street,
